"JAVA-LIB","VERSION","RELEASED","LATEST_VERSION","LAST_CHECK","SOURCE","STATUS","COMMENT","ACTION"
"struts-extras-1.3.8.migrated.jar","1.3.8",2007,"1.3.10 EOL",2022-03-16,"https://mvnrepository.com/artifact/org.apache.struts/struts-core","manual fixes, replacement: Spring MVC",,
"struts-taglib-1.3.8.migrated.jar","1.3.8",2007,"1.3.10 EOL",2022-03-16,"https://mvnrepository.com/artifact/org.apache.struts/struts-core","manual fixes, replacement: Spring MVC",,
"struts-tiles-1.3.8.migrated.jar","1.3.8",2007,"1.3.10 EOL",2022-03-16,"https://mvnrepository.com/artifact/org.apache.struts/struts-core","manual fixes, replacement: Spring MVC",,
"taglibs-standard-impl-1.2.5.migrated.jar","1.2.5",2015,"1.2.5",2022-03-16,"https://mvnrepository.com/artifact/org.apache.taglibs/taglibs-standard-impl","latest release","JSP Standard Tag Library (JSTL) implementation",
"taglibs-standard-spec-1.2.5.migrated.jar","1.2.5",2015,"1.2.5",2022-03-16,"https://mvnrepository.com/artifact/org.apache.taglibs/taglibs-standard-spec","latest release","JSP Standard Tag Library (JSTL) spec",
"tika-core-2.4.1.jar","2.4.1",2022,"2.4.1",2022-07-11,"https://mvnrepository.com/artifact/org.apache.tika/tika-core","latest release","Content Analysis Toolkit Library",
"tika-parsers-standard-package-2.4.1.jar","2.4.1",2022,"2.4.1",2022-07-11,"https://mvnrepository.com/artifact/org.apache.tika/tika-parsers-standard-package","latest release","Standard Parser Package for TIKA",
"trove-3.0.3.migrated.jar","3.0.3",2012,"3.0.3",2022-03-16,"https://mvnrepository.com/artifact/net.sf.trove4j/trove4j","latest release","highspeed regular and primitive collections",
"unbescape-1.1.0.RELEASE.migrated.jar","1.1.0",2014,"1.1.6",2022-03-16,"https://mvnrepository.com/artifact/org.unbescape/unbescape","no known vulnerability","escape/unescape library",
"validation-api-2.0.1.Final.migrated.jar","2.0.1",2017,"2.0.1",2022-03-16,"https://mvnrepository.com/artifact/javax.validation/validation-api","latest release","bean validation API",
"velocity-engine-core-2.3.migrated.jar","2.3",2021,"2.3",2022-03-16,"https://mvnrepository.com/artifact/org.apache.velocity/velocity-engine-core","latest release","Velocity engine",
